rownames,uid,state,votetrump,age,female,collegeed,racef,famincr,ideo,pid7na,bornagain,religimp,churchatd,prayerfreq,angryracism,whiteadv,fearraces,racerare,lrelig,lcograc,lemprac
1936,1936,Delaware,1,55,1,0,White,4,4,7,0,2,1,5,5,5,5,1,-0.5095139442235108,-0.005524360436810266,1.3862140568107622
1937,1937,Florida,1,57,1,0,White,2,3,5,0,3,1,5,2,5,1,1,-0.10249093214282179,-0.005524360436810266,-0.138714742127817
1938,1938,New Hampshire,1,54,1,0,White,4,3,4,0,4,2,5,1,4,4,4,0.4187504168179147,0.9771959950395975,0.27178882756754197
1939,1939,Illinois,0,53,1,0,White,2,3,2,0,3,4,6,1,4,3,3,0.20629624951242795,0.656604937986723,0.052227512737282766
1940,1940,Illinois,0,46,1,0,White,4,3,1,0,1,1,1,1,1,1,2,-1.584899964827102,-0.4551925376850848,-0.6194269716205983
1941,1941,New York,,47,1,0,White,5,4,4,0,1,1,7,1,5,1,2,-0.945162507290458,0.5087615515053516,-0.6194269716205983
1942,1942,Nevada,0,57,1,0,White,6,3,1,0,3,3,6,1,2,4,2,0.14887011884293536,-0.11881161756623469,0.27178882756754197
1943,1943,Wisconsin,,45,1,0,White,2,3,4,0,3,1,2,3,5,4,1,-0.27367342426787417,-0.005524360436810266,0.9671601641532525
1944,1944,New Jersey,0,56,1,0,White,7,2,1,0,4,2,7,1,3,3,2,0.7460889643831501,0.12553213079247608,0.052227512737282766
1945,1945,Oregon,,62,1,0,White,3,4,5,0,1,1,1,5,5,1,1,-1.584899964827102,-0.005524360436810266,0.2144188829397604
1946,1946,Pennsylvania,,52,1,0,White,7,2,1,0,1,1,1,,,,,-1.584899964827102,,
1947,1947,New Jersey,,61,1,0,White,2,3,2,0,3,1,1,3,4,2,3,-0.37133472909038423,0.656604937986723,0.41619695773708365
1948,1948,California,0,59,1,0,White,3,1,1,0,1,1,1,1,2,1,2,-1.584899964827102,-0.11881161756623469,-0.6194269716205983
1949,1949,California,,51,1,0,White,1,,5,0,4,1,1,2,4,1,2,0.13540529217675346,0.3012782263605131,-0.138714742127817
1950,1950,West Virginia,1,51,1,0,White,7,3,7,1,4,3,5,1,3,4,4,0.4989738850617788,0.7740557550449166,0.27178882756754197
1951,1951,California,0,53,1,0,White,5,3,2,0,2,2,2,1,1,2,2,-0.5414731491146806,-0.4551925376850848,-0.21456318441150887
1952,1952,California,0,61,1,0,White,8,3,2,0,1,2,2,1,2,2,1,-0.9244283593455365,-0.643632269514061,-0.21456318441150887
1953,1953,Massachusetts,0,62,1,0,White,5,4,1,0,4,3,6,1,2,3,2,0.5965038179808805,-0.11881161756623469,0.052227512737282766
1954,1954,Maryland,,58,1,0,White,7,4,7,1,3,2,5,2,5,4,2,-0.017325778574398248,0.5087615515053516,0.7028020303636756
1955,1955,Wisconsin,,62,1,0,White,2,2,1,0,2,2,2,2,3,3,2,-0.5414731491146806,0.12553213079247608,0.4679751586170238
1956,1956,Ohio,0,46,1,0,White,1,3,4,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
1957,1957,Georgia,1,61,1,0,White,5,4,6,0,3,2,5,2,5,1,4,-0.017325778574398248,1.3010795133602184,-0.138714742127817
1958,1958,Wisconsin,0,47,1,0,White,3,3,,0,2,1,2,1,3,3,3,-0.649736249772667,0.4752937495294623,0.052227512737282766
1959,1959,New Hampshire,1,46,1,0,White,7,4,4,0,3,2,7,3,4,2,4,0.134815827468296,0.9771959950395975,0.41619695773708365
1960,1960,Illinois,1,57,1,0,White,,3,4,0,2,1,1,3,3,1,2,-0.7667762705382174,0.12553213079247608,0.07016563578523916
1961,1961,Arizona,1,53,1,0,White,3,4,4,1,3,2,6,3,4,4,4,0.06085546390927974,0.9771959950395975,0.9671601641532525
1962,1962,Ohio,1,55,1,0,White,2,2,6,0,3,1,7,2,5,3,4,0.04907416057739689,1.3010795133602184,0.4679751586170238
1963,1963,Nevada,1,59,1,0,White,9,3,2,0,2,2,2,1,4,3,2,-0.5414731491146806,0.3012782263605131,0.052227512737282766
1964,1964,Arkansas,,18,1,0,Black,,,,0,4,2,3,,,,,0.3410753855413821,,
1965,1965,Colorado,,50,1,0,Asian,5,3,2,0,1,1,1,3,1,3,3,-1.584899964827102,-0.058539060951404244,0.7003136334555536
1966,1966,Kentucky,0,58,1,1,White,12,2,1,0,4,5,6,1,1,1,1,0.8063118780148516,-1.204084686093323,-0.6194269716205983
1967,1967,Florida,0,64,1,1,White,2,1,1,1,3,5,7,1,1,1,2,0.36444640312140714,-0.4551925376850848,-0.6194269716205983
1968,1968,New Jersey,1,54,1,1,White,4,5,7,0,4,5,6,2,5,4,5,0.8063118780148516,1.8412257065152642,0.7028020303636756
1969,1969,Kentucky,0,64,1,1,White,11,2,2,0,3,3,7,1,1,1,1,0.2292131098416408,-1.204084686093323,-0.6194269716205983
1970,1970,Pennsylvania,0,55,1,1,White,9,2,1,0,3,2,7,1,2,3,3,0.134815827468296,0.2410719755829464,0.052227512737282766
1971,1971,Texas,0,61,1,1,White,7,2,3,0,4,4,7,1,1,1,1,0.932332878241983,-1.204084686093323,-0.6194269716205983
1972,1972,New York,0,56,1,1,White,8,1,1,0,2,1,3,1,1,1,1,-0.5681070390347422,-1.204084686093323,-0.6194269716205983
1973,1973,Kentucky,0,56,1,1,White,2,3,1,1,4,5,5,1,5,1,4,0.6972726095973313,1.3010795133602184,-0.6194269716205983
1974,1974,Georgia,0,51,1,1,White,8,3,3,0,1,1,1,2,4,4,2,-1.584899964827102,0.3012782263605131,0.7028020303636756
1975,1975,Michigan,1,62,1,1,White,8,4,5,0,4,6,6,1,3,3,2,1.0215343964466774,0.12553213079247608,0.052227512737282766
1976,1976,South Carolina,1,63,1,1,White,7,4,6,0,3,1,7,1,2,1,1,0.04907416057739689,-0.643632269514061,-0.6194269716205983
1977,1977,Georgia,1,47,1,1,White,,5,6,1,4,6,7,1,2,4,3,1.6966135178966604,0.2410719755829464,0.27178882756754197
1978,1978,Arizona,1,59,1,1,White,,3,4,0,4,6,7,2,2,2,2,1.6966135178966604,-0.11881161756623469,0.20409480479440348
1979,1979,California,0,59,1,1,White,6,3,3,0,1,1,2,1,1,1,1,-1.1301748847213864,-1.204084686093323,-0.6194269716205983
1980,1980,Connecticut,0,56,1,1,White,12,3,2,0,3,4,7,1,2,4,1,0.29541223139461764,-0.643632269514061,0.27178882756754197
1981,1981,Kansas,0,51,1,1,White,7,2,1,0,2,2,5,1,2,1,1,-0.4022057731502161,-0.643632269514061,-0.6194269716205983
1982,1982,Iowa,,49,0,0,White,4,3,2,0,1,4,5,,,,,-0.6437688389282401,,
1983,1983,Minnesota,1,54,0,0,White,5,4,4,1,4,2,7,2,5,2,5,0.7460889643831501,1.8412257065152642,0.20409480479440348
1984,1984,Wyoming,0,48,0,0,White,7,3,2,0,1,1,7,1,1,3,1,-0.945162507290458,-1.204084686093323,0.052227512737282766
1985,1985,Louisiana,1,61,0,0,White,2,3,6,0,3,1,1,5,2,1,4,-0.37133472909038423,0.5270892828849888,0.2144188829397604
1986,1986,Massachusetts,,55,0,0,White,6,2,1,0,2,2,6,,,,,-0.3562917371972849,,
1987,1987,Missouri,0,64,0,0,White,5,1,1,0,1,1,1,1,2,1,1,-1.584899964827102,-0.643632269514061,-0.6194269716205983
1988,1988,Ohio,,49,0,0,White,5,4,7,1,3,3,7,2,4,2,3,0.2292131098416408,0.656604937986723,0.20409480479440348
1989,1989,Vermont,0,67,1,0,White,,2,3,0,3,1,2,1,1,1,2,-0.27367342426787417,-0.4551925376850848,-0.6194269716205983
1990,1990,California,1,67,1,0,White,,4,5,0,2,1,,3,4,1,3,-0.6348525205306609,0.656604937986723,0.07016563578523916
1991,1991,Washington,1,81,1,0,White,2,4,7,0,3,2,6,2,4,1,3,0.06085546390927974,0.656604937986723,-0.138714742127817
1992,1992,Washington,0,75,1,0,White,8,3,2,1,3,4,5,2,2,3,2,0.12321677994056492,-0.11881161756623469,0.4679751586170238
1993,1993,Pennsylvania,0,70,1,0,White,6,2,1,0,2,1,6,1,1,1,1,-0.4705588784303862,-1.204084686093323,-0.6194269716205983
1994,1994,Minnesota,0,82,1,0,White,5,2,1,0,4,5,6,1,1,2,1,0.8063118780148516,-1.204084686093323,-0.21456318441150887
1995,1995,California,1,78,1,0,White,11,3,7,0,2,1,2,3,5,3,5,-0.649736249772667,1.8412257065152642,0.7003136334555536
1996,1996,South Carolina,1,78,1,0,White,5,4,7,1,4,6,7,1,3,3,2,1.6966135178966604,0.12553213079247608,0.052227512737282766
1997,1997,Ohio,0,70,1,0,White,8,2,1,0,4,6,7,1,1,3,1,1.6966135178966604,-1.204084686093323,0.052227512737282766
1998,1998,California,1,73,1,0,White,2,4,6,1,4,2,7,2,4,2,2,0.7460889643831501,0.3012782263605131,0.20409480479440348
1999,1999,Florida,1,76,1,0,White,3,4,7,0,3,2,7,1,4,2,2,0.134815827468296,0.3012782263605131,-0.21456318441150887
2000,2000,Wisconsin,0,70,1,0,White,4,3,5,0,2,3,6,3,4,2,4,-0.26338738855944444,0.9771959950395975,0.41619695773708365
2001,2001,Alabama,,77,1,0,White,2,4,5,1,4,4,5,1,3,3,4,0.5730600938704432,0.7740557550449166,0.052227512737282766
2002,2002,Texas,0,72,1,0,White,6,2,1,0,1,1,1,1,1,3,2,-1.584899964827102,-0.4551925376850848,0.052227512737282766
2003,2003,New York,0,67,1,0,White,10,3,3,0,3,2,6,2,2,2,2,0.06085546390927974,-0.11881161756623469,0.20409480479440348
2004,2004,Nevada,0,74,1,0,White,5,2,1,0,3,2,7,1,1,1,1,0.134815827468296,-1.204084686093323,-0.6194269716205983
2005,2005,North Carolina,0,83,1,0,White,9,4,2,1,4,6,7,3,5,4,3,1.6966135178966604,0.9000377577600748,0.9671601641532525
2006,2006,Ohio,0,68,1,0,White,2,2,1,0,1,1,1,1,1,2,1,-1.584899964827102,-1.204084686093323,-0.21456318441150887
2007,2007,Minnesota,0,83,1,0,White,7,3,4,0,4,3,7,1,1,3,1,0.834777050820967,-1.204084686093323,0.052227512737282766
2008,2008,North Carolina,1,73,1,0,White,4,3,4,0,4,3,7,1,2,1,2,0.834777050820967,-0.11881161756623469,-0.6194269716205983
2009,2009,Georgia,0,68,1,1,White,5,2,1,0,1,1,1,1,1,2,2,-1.584899964827102,-0.4551925376850848,-0.21456318441150887
2010,2010,Georgia,0,68,1,1,White,8,2,1,0,4,3,7,1,1,1,1,0.834777050820967,-1.204084686093323,-0.6194269716205983
2011,2011,Nevada,0,81,1,1,White,8,2,1,0,4,5,6,3,2,3,2,0.8063118780148516,-0.11881161756623469,0.7003136334555536
2012,2012,California,0,68,1,1,White,5,3,2,0,2,2,2,1,1,2,1,-0.5414731491146806,-1.204084686093323,-0.21456318441150887
2013,2013,Washington,0,77,1,1,White,9,1,1,0,2,2,7,1,1,1,1,-0.3242372479301743,-1.204084686093323,-0.6194269716205983
2014,2014,Iowa,0,74,1,1,White,,3,2,0,4,5,7,1,1,1,1,1.1710973279945556,-1.204084686093323,-0.6194269716205983
2015,2015,Connecticut,0,80,1,1,White,2,2,1,0,4,5,7,1,1,1,1,1.1710973279945556,-1.204084686093323,-0.6194269716205983
2016,2016,Kentucky,1,65,1,1,White,3,2,2,1,4,5,6,2,2,2,2,0.8063118780148516,-0.11881161756623469,0.20409480479440348
2017,2017,New York,0,67,1,1,White,,3,2,0,3,2,2,1,1,2,1,-0.16840158788791199,-1.204084686093323,-0.21456318441150887
2018,2018,Washington,0,69,1,1,White,7,2,2,0,4,5,6,1,2,3,1,0.8063118780148516,-0.643632269514061,0.052227512737282766
2019,2019,Florida,0,70,1,1,White,2,3,2,0,1,2,1,1,3,1,3,-1.152458049214514,0.4752937495294623,-0.6194269716205983
2020,2020,Illinois,0,79,1,1,White,4,3,2,0,4,5,7,2,2,2,2,1.1710973279945556,-0.11881161756623469,0.20409480479440348
2021,2021,Wisconsin,1,66,1,1,White,,4,5,1,4,5,5,3,4,3,4,0.6972726095973313,0.9771959950395975,0.7003136334555536
2022,2022,Arizona,0,81,1,1,White,,2,1,0,4,5,6,1,1,1,1,0.8063118780148516,-1.204084686093323,-0.6194269716205983
2023,2023,Pennsylvania,,68,1,1,White,3,3,4,1,4,3,6,1,5,3,2,0.5965038179808805,0.5087615515053516,0.052227512737282766
2024,2024,Indiana,0,85,1,1,White,,3,3,0,4,3,7,2,2,4,2,0.834777050820967,-0.11881161756623469,0.7028020303636756
2025,2025,Colorado,1,66,1,1,White,,4,7,0,4,6,5,4,4,2,4,0.8917463245108356,0.9771959950395975,0.5353182699545874
2026,2026,Virginia,1,74,1,1,White,3,4,2,1,4,3,7,2,2,2,1,0.834777050820967,-0.643632269514061,0.20409480479440348
2027,2027,Illinois,1,74,1,1,White,3,4,5,0,2,1,7,1,5,1,3,-0.44628461614644405,0.9000377577600748,-0.6194269716205983
2028,2028,New York,0,77,1,1,White,,3,3,0,2,2,6,2,1,2,2,-0.3562917371972849,-0.4551925376850848,0.20409480479440348
2029,2029,Kansas,0,75,1,1,White,7,3,1,1,4,5,7,1,1,1,2,1.1710973279945556,-0.4551925376850848,-0.6194269716205983
2030,2030,Massachusetts,0,71,1,1,White,,3,2,0,4,2,7,1,1,2,1,0.7460889643831501,-1.204084686093323,-0.21456318441150887
2031,2031,Nevada,1,72,1,1,White,10,5,2,0,4,6,7,1,1,2,2,1.6966135178966604,-0.4551925376850848,-0.21456318441150887
2032,2032,Arizona,1,81,1,1,White,5,5,7,0,4,5,7,1,2,2,4,1.1710973279945556,0.5270892828849888,-0.21456318441150887
2033,2033,Oregon,0,71,1,1,White,6,2,1,0,4,5,6,1,1,3,2,0.8063118780148516,-0.4551925376850848,0.052227512737282766
2034,2034,Maryland,,66,1,1,White,,4,5,0,3,3,3,,,,,-0.01175096489321396,,
2035,2035,Ohio,0,66,1,1,Native American,3,3,3,0,4,6,7,2,3,2,2,1.6966135178966604,0.12553213079247608,0.20409480479440348
2036,2036,Missouri,0,55,1,1,White,2,1,1,0,2,1,5,1,1,1,1,-0.5095139442235108,-1.204084686093323,-0.6194269716205983
2037,2037,West Virginia,,51,1,1,White,3,3,2,0,4,5,7,,,,,1.1710973279945556,,
2038,2038,Pennsylvania,0,64,1,1,White,5,3,3,0,4,5,7,1,2,4,1,1.1710973279945556,-0.643632269514061,0.27178882756754197
2039,2039,New Jersey,1,56,1,1,White,10,3,7,0,3,2,7,4,5,3,4,0.134815827468296,1.3010795133602184,0.8370448206710984
2040,2040,Georgia,1,55,1,1,White,5,4,7,1,4,6,7,1,5,1,3,1.6966135178966604,0.9000377577600748,-0.6194269716205983
2041,2041,Tennessee,0,62,1,1,White,8,4,5,1,4,5,6,1,2,4,2,0.8063118780148516,-0.11881161756623469,0.27178882756754197
2042,2042,North Carolina,1,61,1,1,White,9,3,4,1,4,5,7,2,4,2,2,1.1710973279945556,0.3012782263605131,0.20409480479440348
2043,2043,New York,0,55,1,1,White,12,3,3,0,2,1,2,1,2,2,2,-0.649736249772667,-0.11881161756623469,-0.21456318441150887
2044,2044,Wisconsin,1,63,1,1,White,9,3,5,0,4,5,7,1,5,4,1,1.1710973279945556,-0.005524360436810266,0.27178882756754197
2045,2045,Nevada,1,57,1,1,White,,4,5,0,3,4,7,2,5,1,3,0.29541223139461764,0.9000377577600748,-0.138714742127817
2046,2046,Montana,0,52,1,1,White,3,3,2,0,2,2,2,1,2,1,1,-0.5414731491146806,-0.643632269514061,-0.6194269716205983
2047,2047,Florida,0,56,1,1,White,4,3,2,1,4,5,5,2,3,3,2,0.6972726095973313,0.12553213079247608,0.4679751586170238
2048,2048,Montana,0,58,1,1,White,7,3,1,1,4,2,7,1,5,2,1,0.7460889643831501,-0.005524360436810266,-0.21456318441150887
2049,2049,Washington,,57,1,1,White,10,3,4,0,2,1,5,1,1,1,2,-0.5095139442235108,-0.4551925376850848,-0.6194269716205983
2050,2050,California,0,57,1,1,White,6,2,3,0,4,5,7,1,3,2,3,1.1710973279945556,0.4752937495294623,-0.21456318441150887
2051,2051,Washington,0,61,1,1,White,11,2,1,0,3,4,7,1,1,2,1,0.29541223139461764,-1.204084686093323,-0.21456318441150887
2052,2052,Vermont,0,45,1,1,White,11,2,1,0,1,1,1,3,1,3,1,-1.584899964827102,-1.204084686093323,0.7003136334555536
2053,2053,Pennsylvania,0,49,1,1,White,11,1,1,0,2,2,5,2,1,2,1,-0.4022057731502161,-1.204084686093323,0.20409480479440348
2054,2054,North Carolina,0,27,0,1,Black,5,1,3,0,3,4,4,2,1,1,2,0.07311750016107817,-0.4551925376850848,-0.138714742127817
2055,2055,New York,0,41,1,1,White,10,2,1,0,1,1,5,1,1,3,1,-0.9793364833123014,-1.204084686093323,0.052227512737282766
2056,2056,North Carolina,1,40,1,1,White,5,5,7,1,4,6,7,1,4,2,2,1.6966135178966604,0.3012782263605131,-0.21456318441150887
2057,2057,Michigan,0,43,1,1,White,9,2,2,0,1,1,2,2,2,2,2,-1.1301748847213864,-0.11881161756623469,0.20409480479440348
2058,2058,Florida,0,44,1,1,White,3,4,6,0,2,2,2,2,1,1,1,-0.5414731491146806,-1.204084686093323,-0.138714742127817
2059,2059,South Carolina,1,41,1,1,White,10,5,7,1,4,3,7,1,5,3,4,0.834777050820967,1.3010795133602184,0.052227512737282766
2060,2060,Florida,0,35,1,1,White,6,2,1,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
2061,2061,Florida,1,40,1,1,White,9,4,7,0,1,1,1,5,5,5,5,-1.584899964827102,1.8412257065152642,1.3862140568107622
2062,2062,Texas,0,69,0,0,Black,,1,1,1,2,2,7,1,1,3,1,-0.3242372479301743,-1.204084686093323,0.052227512737282766
2063,2063,Washington,,44,1,0,Black,4,3,1,1,2,4,7,,,,,-0.1569159116544812,,
2064,2064,Georgia,0,70,0,1,Black,9,2,1,1,4,4,5,1,1,1,1,0.5730600938704432,-1.204084686093323,-0.6194269716205983
2065,2065,Michigan,1,35,1,1,Asian,6,4,7,0,2,2,2,3,3,1,1,-0.5414731491146806,-0.36156163354223914,0.07016563578523916
2066,2066,Texas,,34,1,1,Asian,6,3,,0,3,3,6,2,2,4,2,0.14887011884293536,-0.11881161756623469,0.7028020303636756
2067,2067,Florida,,63,0,1,Black,11,2,1,1,4,6,7,,,,,1.6966135178966604,,
2068,2068,Kentucky,0,54,0,1,Black,3,1,1,0,4,3,7,1,1,1,4,0.834777050820967,0.22698873787419577,-0.6194269716205983
2069,2069,Maryland,0,46,0,1,Black,9,3,4,0,2,4,3,2,3,2,3,-0.3622053830128269,0.4752937495294623,0.20409480479440348
2070,2070,Virginia,0,63,0,1,Black,8,3,1,0,4,5,7,1,2,1,2,1.1710973279945556,-0.11881161756623469,-0.6194269716205983
2071,2071,New York,0,26,1,1,Black,,1,1,0,1,1,1,1,1,3,1,-1.584899964827102,-1.204084686093323,0.052227512737282766
2072,2072,Missouri,,28,0,1,Asian,9,4,6,1,3,5,7,1,2,1,2,0.36444640312140714,-0.11881161756623469,-0.6194269716205983
2073,2073,Utah,,45,1,0,Hispanic,6,1,,0,1,1,5,1,1,1,2,-0.9793364833123014,-0.4551925376850848,-0.6194269716205983
2074,2074,Texas,0,49,1,0,Hispanic,4,2,1,0,4,5,7,1,2,1,1,1.1710973279945556,-0.643632269514061,-0.6194269716205983
2075,2075,New York,0,65,1,0,Black,1,2,1,1,4,5,7,2,2,3,2,1.1710973279945556,-0.11881161756623469,0.4679751586170238
2076,2076,Michigan,0,32,0,1,White,3,1,4,0,3,5,4,2,5,1,5,0.11539927370639654,1.8412257065152642,-0.138714742127817
2077,2077,Delaware,1,34,0,1,White,10,3,4,0,3,3,7,2,5,2,5,0.2292131098416408,1.8412257065152642,0.20409480479440348
2078,2078,Colorado,,40,0,1,White,10,3,6,0,1,1,1,,,,,-1.584899964827102,,
2079,2079,West Virginia,0,44,0,1,White,4,3,1,1,4,6,7,1,3,3,2,1.6966135178966604,0.12553213079247608,0.052227512737282766
2080,2080,Wisconsin,0,43,0,1,White,9,1,3,0,2,2,2,1,1,3,1,-0.5414731491146806,-1.204084686093323,0.052227512737282766
2081,2081,Mississippi,0,39,0,1,White,7,3,5,1,4,6,7,2,4,3,2,1.6966135178966604,0.3012782263605131,0.4679751586170238
2082,2082,Illinois,0,35,0,1,White,10,3,4,0,1,1,1,1,3,1,3,-1.584899964827102,0.4752937495294623,-0.6194269716205983
2083,2083,Pennsylvania,1,30,0,1,White,6,5,5,1,4,5,7,2,2,1,3,1.1710973279945556,0.2410719755829464,-0.138714742127817
2084,2084,Florida,0,60,1,1,Hispanic,6,1,1,0,1,1,1,1,1,2,1,-1.584899964827102,-1.204084686093323,-0.21456318441150887
2085,2085,Florida,0,46,1,1,Hispanic,11,3,3,0,1,1,1,1,1,3,1,-1.584899964827102,-1.204084686093323,0.052227512737282766
2086,2086,Florida,0,52,1,1,Hispanic,7,3,2,0,1,2,2,1,3,3,3,-0.9244283593455365,0.4752937495294623,0.052227512737282766
2087,2087,Florida,1,71,1,0,White,6,4,5,0,2,2,5,3,5,1,5,-0.4022057731502161,1.8412257065152642,0.07016563578523916
2088,2088,Arkansas,0,70,1,0,White,5,3,3,1,4,2,6,2,3,3,2,0.5217095254077706,0.12553213079247608,0.4679751586170238
2089,2089,Colorado,1,73,1,0,White,5,3,6,0,1,1,7,1,5,2,3,-0.945162507290458,0.9000377577600748,-0.21456318441150887
2090,2090,Virginia,1,75,1,0,White,6,4,6,0,4,1,7,2,3,3,3,0.696112982276354,0.4752937495294623,0.4679751586170238
2091,2091,Maine,1,77,1,0,White,4,5,7,1,4,6,7,2,5,3,4,1.6966135178966604,1.3010795133602184,0.4679751586170238
2092,2092,Kentucky,1,78,1,0,White,,5,7,1,4,6,7,3,1,3,4,1.6966135178966604,0.22698873787419577,0.7003136334555536
2093,2093,Virginia,1,66,1,0,White,3,4,7,1,4,6,7,3,5,1,3,1.6966135178966604,0.9000377577600748,0.07016563578523916
2094,2094,Florida,0,68,1,0,White,3,3,2,1,4,3,5,1,2,1,2,0.4989738850617788,-0.11881161756623469,-0.6194269716205983
2095,2095,California,1,76,1,0,White,6,4,5,1,4,6,7,1,4,2,3,1.6966135178966604,0.656604937986723,-0.21456318441150887
2096,2096,Pennsylvania,1,61,0,0,White,9,4,6,0,3,3,5,3,3,3,3,0.0693560313642333,0.4752937495294623,0.7003136334555536
2097,2097,Texas,,56,0,0,White,5,5,7,1,2,3,7,1,1,2,1,-0.21771657347885395,-1.204084686093323,-0.21456318441150887
2098,2098,New Hampshire,0,47,0,0,White,,3,1,0,1,2,1,1,2,1,2,-1.152458049214514,-0.11881161756623469,-0.6194269716205983
2099,2099,Ohio,1,62,0,0,White,,4,7,0,4,5,5,1,5,4,4,0.6972726095973313,1.3010795133602184,0.27178882756754197
2100,2100,North Carolina,,52,0,0,White,7,4,4,0,3,2,5,1,4,3,2,-0.017325778574398248,0.3012782263605131,0.052227512737282766
2101,2101,Virginia,1,59,0,0,White,9,4,5,0,2,1,2,3,5,1,5,-0.649736249772667,1.8412257065152642,0.07016563578523916
2102,2102,West Virginia,0,54,0,0,White,11,5,5,1,4,5,7,1,4,1,2,1.1710973279945556,0.3012782263605131,-0.6194269716205983
2103,2103,Oklahoma,1,61,0,0,White,3,3,4,0,2,3,2,1,1,1,1,-0.4712378518052408,-1.204084686093323,-0.6194269716205983
2104,2104,Nevada,1,60,0,0,White,9,5,7,0,2,1,2,1,3,3,3,-0.649736249772667,0.4752937495294623,0.052227512737282766
2105,2105,Washington,0,55,0,0,White,7,1,1,0,1,1,1,5,2,3,2,-1.584899964827102,-0.11881161756623469,0.8812815864961803
2106,2106,Utah,1,56,0,0,White,,,4,0,2,2,5,3,3,4,1,-0.4022057731502161,-0.36156163354223914,0.9671601641532525
2107,2107,New York,1,62,0,0,White,,3,4,0,3,2,7,2,2,3,2,0.134815827468296,-0.11881161756623469,0.4679751586170238
2108,2108,New York,1,61,0,0,White,,3,4,0,1,1,1,3,5,3,4,-1.584899964827102,1.3010795133602184,0.7003136334555536
2109,2109,Indiana,0,51,0,0,White,8,3,3,0,1,1,1,5,3,1,2,-1.584899964827102,0.12553213079247608,0.2144188829397604
2110,2110,Florida,0,57,0,0,White,1,1,1,1,4,4,3,1,3,3,4,0.5107863403347639,0.7740557550449166,0.052227512737282766
2111,2111,Virginia,1,48,0,0,White,11,3,3,0,3,2,7,1,4,2,4,0.134815827468296,0.9771959950395975,-0.21456318441150887
2112,2112,North Carolina,,53,0,0,White,2,3,1,1,3,,5,1,4,1,1,0.03545462980327022,-0.18568175463072376,-0.6194269716205983
2113,2113,Idaho,1,52,0,0,White,6,5,7,1,4,1,7,2,2,1,4,0.696112982276354,0.5270892828849888,-0.138714742127817
2114,2114,Ohio,0,45,0,0,White,5,1,3,0,4,4,7,1,1,1,1,0.932332878241983,-1.204084686093323,-0.6194269716205983
2115,2115,Oregon,1,63,0,0,White,11,4,6,0,4,5,6,4,5,1,2,0.8063118780148516,0.5087615515053516,0.181904360939088
2116,2116,West Virginia,0,50,0,0,White,10,2,1,0,3,2,5,1,2,1,1,-0.017325778574398248,-0.643632269514061,-0.6194269716205983
2117,2117,North Carolina,0,52,0,0,White,8,3,2,0,2,2,2,2,2,2,3,-0.5414731491146806,0.2410719755829464,0.20409480479440348
2118,2118,Michigan,1,60,0,0,White,10,3,4,0,4,2,7,1,3,1,2,0.7460889643831501,0.12553213079247608,-0.6194269716205983
2119,2119,New Jersey,1,50,0,0,White,11,4,7,1,4,5,7,2,4,1,4,1.1710973279945556,0.9771959950395975,-0.138714742127817
2120,2120,California,1,62,0,0,White,2,3,4,1,4,6,7,4,5,4,2,1.6966135178966604,0.5087615515053516,1.1319324779186792
2121,2121,California,1,64,0,0,White,4,3,4,0,2,1,2,3,5,4,1,-0.649736249772667,-0.005524360436810266,0.9671601641532525
2122,2122,Minnesota,0,59,0,0,White,12,2,1,0,4,5,5,1,1,1,1,0.6972726095973313,-1.204084686093323,-0.6194269716205983
2123,2123,Virginia,1,54,0,0,White,1,3,4,0,4,5,7,3,5,4,1,1.1710973279945556,-0.005524360436810266,0.9671601641532525
2124,2124,Virginia,0,59,0,0,White,11,3,4,1,4,5,6,2,2,2,3,0.8063118780148516,0.2410719755829464,0.20409480479440348
2125,2125,Florida,0,52,0,0,White,9,3,3,0,1,1,1,1,1,2,1,-1.584899964827102,-1.204084686093323,-0.21456318441150887
2126,2126,Florida,0,62,0,0,White,3,1,1,1,3,1,7,1,1,2,1,0.04907416057739689,-1.204084686093323,-0.21456318441150887
2127,2127,Iowa,1,52,0,0,White,10,5,5,1,4,5,7,3,5,1,2,1.1710973279945556,0.5087615515053516,0.07016563578523916
2128,2128,Oregon,0,64,0,0,White,6,4,3,1,4,2,5,1,2,3,1,0.4187504168179147,-0.643632269514061,0.052227512737282766
2129,2129,Texas,,55,0,0,White,4,1,2,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
2130,2130,Kentucky,0,61,0,0,White,6,3,3,1,3,2,7,1,1,2,2,0.134815827468296,-0.4551925376850848,-0.21456318441150887
2131,2131,Washington,1,60,0,0,White,8,4,7,1,4,6,7,3,5,1,3,1.6966135178966604,0.9000377577600748,0.07016563578523916
2132,2132,Virginia,0,23,0,1,White,12,2,1,0,2,3,2,1,1,1,2,-0.4712378518052408,-0.4551925376850848,-0.6194269716205983
2133,2133,Michigan,0,25,0,1,White,2,1,1,0,2,4,2,1,1,1,1,-0.44425078098387744,-1.204084686093323,-0.6194269716205983
2134,2134,Maryland,0,27,0,1,White,5,2,2,0,1,1,1,1,1,1,1,-1.584899964827102,-1.204084686093323,-0.6194269716205983
